Cliente,Modelo,Silhouette,Davies Bouldin,Calinski Harabasz
Cliente 8,Birch,0.43704888848952755,1.1395363639017146,10036.458126276693
Cliente 29,Birch,0.5753819441002597,0.6438396762103931,2235.5290743469764
Cliente 15,Birch,0.339829865166392,1.3042578359139105,7329.856114348064
Cliente 14,Birch,0.37982468588531315,1.0954356581642357,2536.0417842814954
Cliente 28,Birch,0.5542287987646881,0.7207847724418626,7574.8115718979925
Cliente 16,Birch,0.49938252845666004,0.8754385965507883,16296.417305617213
Cliente 17,Birch,0.5135727049249917,0.8304911340868114,17971.66673057782
Cliente 13,Birch,0.34637966435455714,1.274650049270787,1241.651859950445
Cliente 12,Birch,0.41666357139196775,1.0455999324153802,7819.784578005658
Cliente 10,Birch,0.45217107816765834,0.9734869371835768,12651.044288923307
Cliente 11,Birch,0.353744464532381,1.2734460506457654,7254.667494066849
Cliente 20,Birch,0.4274485104815172,1.054262488685686,10021.492983778076
Cliente 21,Birch,0.6513118573585094,0.6935924231113909,5293.982832018771
Cliente 23,Birch,0.3316740665584835,1.3349655801729536,4473.394049455775
Cliente 22,Birch,0.3265428817426633,1.353533691561194,4092.4092920907005
Cliente 26,Birch,0.46798532213580424,0.9386055369861133,9787.880868221577
Cliente 27,Birch,0.44748122851690575,0.9638495211357373,7958.555828527751
Cliente 25,Birch,0.31224965803553195,1.4083071019661524,3866.5813003803573
Cliente 19,Birch,0.5465895365379303,0.7580485538730806,16821.49648264438
Cliente 18,Birch,0.4717174908117446,0.9387226887476858,14449.476327899643
Cliente 24,Birch,0.3720143556444808,1.3202635235491467,1417.2280425645442
Cliente 30,Birch,0.41666357139196775,1.0455999324153804,7819.784578005658
Cliente 1,Birch,0.5063402976098189,0.891719726187255,3812.9025712495195
Cliente 3,Birch,0.5249118550395435,0.7880797459835647,12721.568320888962
Cliente 2,Birch,0.5339878714750611,0.7827778303818764,13668.187032886406
Cliente 6,Birch,0.4897535709919893,0.9229177822596693,12132.286943237215
Cliente 7,Birch,0.5328443954898012,0.8232743358371436,12860.40784498825
Cliente 5,Birch,0.44136478346954205,0.9633361983609856,3385.7468020022516
Cliente 4,Birch,0.5786332122875699,0.7277305414532133,16206.864955068982
Cliente 9,Spectral,0.5412274049981565,0.7991841477691765,22255.445221778376
